#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
100,"google keyword palnner",5,,,30,https://backlinko.com/google-keyword-planner,2.1,5390000,"2017-10-25 13:35:15",57,0.70,
101,"google keywords search",9,11,"2017-09-20 04:38:22",150,https://backlinko.com/google-keyword-planner,2.1,34200000,"2017-10-25 00:28:24",80,4.00,
102,"google keyword planner tutorial",8,,,50,https://backlinko.com/google-keyword-planner,2.0,2180000,"2017-11-03 15:33:14",28,3.00,
103,"keyword tool planner",9,,,70,https://backlinko.com/google-keyword-planner,2.0,475000,"2017-10-31 20:16:15",60,4.00,
104,"google keyword planner competition",4,,,20,https://backlinko.com/google-keyword-planner,2.0,1030000,"2017-10-30 12:03:11",39,9.00,
105,"keywrod planner",5,,,30,https://backlinko.com/google-keyword-planner,1.9,1210000,"2017-09-23 14:35:55",50,,
106,"google keyword adword",8,,,50,https://backlinko.com/google-keyword-planner,1.9,3030000,"2017-11-04 12:19:34",82,2.50,
107,"google word tools",7,,,40,https://backlinko.com/google-keyword-planner,1.9,213000000,"2017-09-17 21:19:07",92,0.80,
108,"free google keyword planner",9,,,60,https://backlinko.com/google-keyword-planner,1.9,2570000,"2017-10-26 18:57:26",61,,
109,"keyword research adwords",9,,,60,https://backlinko.com/google-keyword-planner,1.9,1360000,"2017-10-31 20:24:52",61,8.00,
110,"keyword planners",8,,,50,https://backlinko.com/google-keyword-planner,1.9,685000,"2017-09-23 23:16:02",63,5.00,
111,"google find keywords",8,,,50,https://backlinko.com/google-keyword-planner,1.9,25200000,"2017-10-25 14:40:12",88,3.00,
112,"google adwords research",9,,,60,https://backlinko.com/google-keyword-planner,1.8,3840000,"2017-10-27 00:08:24",81,14.00,
113,"keyword plan",4,,,20,https://backlinko.com/google-keyword-planner,1.8,90100000,"2017-10-31 10:06:00",45,30.00,
114,"google ads keyword planner",5,,,20,https://backlinko.com/google-keyword-planner,1.8,1620000,"2017-11-02 00:05:29",31,4.00,
115,"google adword planner tool",6,,,30,https://backlinko.com/google-keyword-planner,1.8,170000,"2017-10-26 11:57:01",59,3.00,
116,"using google adwords keyword tool",6,,,30,https://backlinko.com/google-keyword-planner,1.8,3430000,"2017-11-02 20:42:00",37,0.50,
117,"keyword planner seo",2,,,10,https://backlinko.com/google-keyword-planner,1.8,530000,"2017-10-17 18:57:40",78,,
118,"keywords google",9,,,300,https://backlinko.com/google-keyword-planner,1.7,201000000,"2017-10-24 08:39:52",66,1.20,
119,"google keyword planner",5,,,66000,https://backlinko.com/google-keyword-planner,1.6,5570000,"2017-11-06 05:49:30",58,1.00,
120,"google planners",10,,,60,https://backlinko.com/google-keyword-planner,1.6,2430000,"2017-10-30 21:22:33",64,1.10,
121,keywordplaner,5,,,20,https://backlinko.com/google-keyword-planner,1.6,13200000,"2017-10-21 17:52:25",57,,
122,"keyword planer",5,,,350,https://backlinko.com/google-keyword-planner,1.6,13400000,"2017-10-20 22:55:39",57,6.00,
123,"google keyword planner search",7,,,30,https://backlinko.com/google-keyword-planner,1.6,8290000,"2017-09-17 17:49:40",63,,
124,"google keywords analysis tool",9,,,50,https://backlinko.com/google-keyword-planner,1.5,126000000,"2017-09-30 08:06:10",62,0.70,
125,"is google keyword planner free",10,,,60,https://backlinko.com/google-keyword-planner,1.5,6840000,"2017-10-14 16:51:40",55,,
126,"google key word tools",7,,,30,https://backlinko.com/google-keyword-planner,1.5,45200000,"2017-11-04 03:33:38",72,0.80,
127,"adword planner",8,6,"2017-10-02 07:46:45",300,https://backlinko.com/google-keyword-planner,1.5,73300,"2017-10-16 22:52:20",59,25.00,
128,"how to use google keyword planner for free",10,,,60,https://backlinko.com/google-keyword-planner,1.5,12500000,"2017-11-03 14:01:06",22,,
129,"use google keyword tool",8,,,40,https://backlinko.com/google-keyword-planner,1.5,7590000,"2017-11-05 07:02:46",52,6.00,
130,"google analytics keyword planner",5,,,20,https://backlinko.com/google-keyword-planner,1.5,796000,"2017-11-06 07:17:46",66,,
131,"google planner tools",7,,,30,https://backlinko.com/google-keyword-planner,1.4,7460000,"2017-09-29 22:29:44",64,,
132,"googl keyword planner",5,,,20,https://backlinko.com/google-keyword-planner,1.4,3020000,"2017-10-01 13:44:14",54,,
133,"google. keyword planner",5,,,20,https://backlinko.com/google-keyword-planner,1.4,5390000,"2017-10-25 12:37:52",57,,
134,"keywod planner",5,,,20,https://backlinko.com/google-keyword-planner,1.4,11500000,"2017-10-27 21:11:36",58,,
